source|target|weight
ur.01364311576.95|ur.07736530137.75|1
ur.01364311576.95|ur.012464441160.24|1
ur.01364311576.95|ur.01127736412.71|1
ur.01364311576.95|ur.010217301725.12|1
ur.01127736412.71|ur.07736530137.75|1
ur.01127736412.71|ur.012464441160.24|1
ur.01127736412.71|ur.010217301725.12|1
ur.07736530137.75|ur.012464441160.24|1
ur.07736530137.75|ur.010217301725.12|1
ur.010217301725.12|ur.012464441160.24|1
ur.012464441160.24|ur.010001154103.66|1
ur.012464441160.24|ur.01104531757.05|1
ur.012464441160.24|ur.01123333164.53|1
ur.01065357012.93|ur.015762014215.60|1
ur.01065357012.93|ur.015656637343.41|1
ur.01065357012.93|ur.012546244607.37|1
ur.01065357012.93|ur.012336247453.39|1
ur.01065357012.93|ur.012303627103.66|1
ur.01065357012.93|ur.0635751262.25|1
ur.01065357012.93|ur.013076575351.14|1
ur.01065357012.93|ur.015502062155.41|1
ur.013076575351.14|ur.015762014215.60|1
ur.013076575351.14|ur.015656637343.41|1
ur.013076575351.14|ur.012546244607.37|1
ur.013076575351.14|ur.012336247453.39|1
ur.013076575351.14|ur.012303627103.66|1
ur.013076575351.14|ur.0635751262.25|1
ur.013076575351.14|ur.015502062155.41|1
ur.0635751262.25|ur.015762014215.60|1
ur.0635751262.25|ur.015656637343.41|1
ur.0635751262.25|ur.012546244607.37|1
ur.0635751262.25|ur.012336247453.39|1
ur.0635751262.25|ur.012303627103.66|1
ur.0635751262.25|ur.015502062155.41|1
ur.015502062155.41|ur.015762014215.60|1
ur.015502062155.41|ur.015656637343.41|1
ur.015502062155.41|ur.012546244607.37|1
ur.015502062155.41|ur.012336247453.39|1
ur.015502062155.41|ur.012303627103.66|1
ur.012303627103.66|ur.015762014215.60|1
ur.012303627103.66|ur.015656637343.41|1
ur.012303627103.66|ur.012546244607.37|1
ur.012303627103.66|ur.012336247453.39|1
ur.015762014215.60|ur.015656637343.41|1
ur.015762014215.60|ur.012546244607.37|1
ur.015762014215.60|ur.012336247453.39|1
ur.015656637343.41|ur.012546244607.37|1
ur.015656637343.41|ur.012336247453.39|1
ur.012546244607.37|ur.012336247453.39|1
ur.01005504116.00|ur.01217153226.17|1
ur.01005504116.00|ur.01037737316.13|2
ur.01005504116.00|ur.01302747466.26|1
ur.01005504116.00|ur.01257703457.74|2
ur.01005504116.00|ur.0641223730.49|1
ur.01217153226.17|ur.01037737316.13|1
ur.01217153226.17|ur.01302747466.26|2
ur.01217153226.17|ur.01257703457.74|2
ur.01217153226.17|ur.01122443461.80|1
ur.01217153226.17|ur.0732163070.98|1
ur.01217153226.17|ur.01337415047.52|1
ur.01302747466.26|ur.01037737316.13|1
ur.01302747466.26|ur.01257703457.74|2
ur.01302747466.26|ur.01222124041.27|1
ur.01302747466.26|ur.01157072046.40|1
ur.01302747466.26|ur.0672003263.22|1
ur.01302747466.26|ur.01332351610.88|1
ur.01302747466.26|ur.011656616717.41|1
ur.01302747466.26|ur.01122443461.80|1
ur.01302747466.26|ur.0732163070.98|1
ur.01302747466.26|ur.01337415047.52|1
ur.01037737316.13|ur.01257703457.74|2
ur.01037737316.13|ur.0641223730.49|1
ur.01257703457.74|ur.01122443461.80|1
ur.01257703457.74|ur.0732163070.98|1
ur.01257703457.74|ur.01337415047.52|1
ur.01257703457.74|ur.0641223730.49|1
ur.0760601756.09|ur.01144041011.33|1
ur.0760601756.09|ur.0772277102.18|1
ur.0760601756.09|ur.01124547064.70|1
ur.0760601756.09|ur.01262234203.57|1
ur.0760601756.09|ur.01150436544.80|1
ur.014500317431.28|ur.012536402043.60|1
ur.014500317431.28|ur.01150602324.73|1
ur.014500317431.28|ur.01030562711.18|1
ur.014500317431.28|ur.052066471.04|1
ur.01030562711.18|ur.012536402043.60|1
ur.01030562711.18|ur.01150602324.73|1
ur.01030562711.18|ur.052066471.04|1
ur.012536402043.60|ur.01150602324.73|1
ur.012536402043.60|ur.052066471.04|1
ur.012536402043.60|ur.015213542313.45|1
ur.052066471.04|ur.01150602324.73|1
ur.014401622577.37|ur.0771634612.94|1
ur.014401622577.37|ur.014275232026.60|1
ur.014401622577.37|ur.01310037735.01|1
ur.014401622577.37|ur.07543154547.08|1
ur.014401622577.37|ur.013610457477.49|1
ur.014275232026.60|ur.0771634612.94|1
ur.07747523442.25|ur.0765302734.41|1
ur.07747523442.25|ur.0642343627.68|1
