id|Citations|Productivity|Degree|Nationality|aff_country|Gender|Nationality_Region|Nationality_IncomeGroup|aff_country_Region|aff_country_IncomeGroup
ur.0777172507.76|1938|1|9|PT|Brazil|male|Europe & Central Asia|High income|Latin America & Caribbean|Upper middle income
ur.016700714046.42|1938|1|9|PT|Brazil||Europe & Central Asia|High income|Latin America & Caribbean|Upper middle income
ur.01161061763.22|1938|1|9|IT|United Kingdom|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.013157737063.29|1938|1|9|FI|United Kingdom|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.01227761764.71|1937|1|2|BD|Germany|male|South Asia|Lower middle income|Europe & Central Asia|High income
ur.01215535225.46|1937|1|2|NL|Germany|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.01347445124.93|1937|1|2||Germany|male|||Europe & Central Asia|High income
ur.01000276270.01|2048|1|4|CN|United States||East Asia & Pacific|Upper middle income|North America|High income
ur.013245373171.14|2048|1|4|DE|United States|male|Europe & Central Asia|High income|North America|High income
ur.01206043275.56|2048|1|4|TW|United States|male|||North America|High income
ur.014724464545.40|2048|1|4|US|United States|male|North America|High income|North America|High income
ur.011472364005.09|1999|1|1|AU|United States||East Asia & Pacific|High income|North America|High income
ur.011003777327.22|1981|1|6|CH|Switzerland||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.011665231651.17|1981|1|6|LU|Switzerland||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.010553577775.14|1981|1|6|UY|Switzerland||Latin America & Caribbean|High income|Europe & Central Asia|High income
ur.0620564173.19|1981|1|6|AT|Switzerland||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.013444422603.51|1981|1|6|CH|Switzerland||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.01320047175.28|1981|1|6|DE|Switzerland||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.01246647401.34|1981|1|6|DE|Switzerland||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.012176565703.24|2041|1|1|US|United States|male|North America|High income|North America|High income
ur.01167753023.87|2041|1|1|CN|United States|male|East Asia & Pacific|Upper middle income|North America|High income
ur.016544566603.54|4194|1|0|DE|United States|male|Europe & Central Asia|High income|North America|High income
ur.015533261676.60|2941|1|4|AR|United States||Latin America & Caribbean|Upper middle income|North America|High income
ur.011274065037.02|2941|1|4|RS|United States||Europe & Central Asia|Upper middle income|North America|High income
ur.07546570075.08|2941|1|4|SE|United States||Europe & Central Asia|High income|North America|High income
ur.012015755647.46|2941|1|4|US|United States|female|North America|High income|North America|High income
ur.015070726375.43|2941|1|4||Brazil||||Latin America & Caribbean|Upper middle income
ur.01041137614.60|2159|1|3|KR|United States||East Asia & Pacific|High income|North America|High income
ur.014235414323.27|2159|1|3|CN|United States||East Asia & Pacific|Upper middle income|North America|High income
ur.011666466247.18|2159|1|3|US|United States||North America|High income|North America|High income
ur.01221761013.26|2159|1|3|US|United States||North America|High income|North America|High income
ur.015331475461.76|2199|1|0|GB|United States|male|Europe & Central Asia|High income|North America|High income
ur.0752027057.51|3016|1|0|AE|||Middle East & North Africa|High income||
ur.014306243761.27|4871|1|1|JP|Japan||East Asia & Pacific|High income|East Asia & Pacific|High income
ur.012776413773.26|4871|1|1|IL|United States|male|Middle East & North Africa|High income|North America|High income
ur.016014627464.04|2082|1|0|IL|United States||Middle East & North Africa|High income|North America|High income
ur.01275416541.56|5768|1|0|DE|United States|male|Europe & Central Asia|High income|North America|High income
ur.01247073502.08|3522|1|3|PH|United States||East Asia & Pacific|Lower middle income|North America|High income
ur.01046505045.39|2148|1|0|US|United States||North America|High income|North America|High income
ur.01177720023.31|3166|1|0|AT|Germany||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.011103263015.66|3151|1|1||Russia||||Europe & Central Asia|Upper middle income
ur.012761621216.14|3151|1|1||Russia||||Europe & Central Asia|Upper middle income
ur.013510226311.19|2402|1|8|DK|Sweden||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.011657765150.52|2402|1|8|GB|Sweden|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.013070277273.19|2402|1|8|IN|Germany||South Asia|Lower middle income|Europe & Central Asia|High income
ur.016015515671.08|2402|1|8|TR|United States|male|Europe & Central Asia|Upper middle income|North America|High income
ur.07721210231.44|2402|1|8|DE|Germany|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.013153432575.26|2402|1|8|DK|Sweden||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.01326644542.28|4529|1|1||South Africa|male|||Sub-Saharan Africa|Upper middle income
ur.0607746750.44|4529|1|1|FR|France||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.015337770677.42|2447|1|1|HK|United States||East Asia & Pacific|High income|North America|High income
ur.010227660477.95|2447|1|1|US|United States||North America|High income|North America|High income
ur.011104717204.51|2158|1|2|HK|Canada||East Asia & Pacific|High income|North America|High income
ur.010345566232.31|2158|1|2|US|Canada||North America|High income|North America|High income
ur.01333701006.37|2158|1|2|LC|Canada||Latin America & Caribbean|Upper middle income|North America|High income
ur.01110625477.76|3624|1|0|US|United States||North America|High income|North America|High income
ur.0625646560.84|2028|1|1|US|Canada||North America|High income|North America|High income
ur.015043447127.20|2028|1|1|US|Canada||North America|High income|North America|High income
ur.01301765001.91|5404|1|4|ES|Spain||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.0705307114.40|5404|1|4|NI|Spain||Latin America & Caribbean|Lower middle income|Europe & Central Asia|High income
ur.0726251126.44|5404|1|4|ES|Spain||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.01365064672.42|5404|1|4||Spain||||Europe & Central Asia|High income
ur.014407264314.04|5404|1|4|SN|Spain||Sub-Saharan Africa|Lower middle income|Europe & Central Asia|High income
ur.051306745.95|2144|1|1|JM|United States|male|Latin America & Caribbean|Upper middle income|North America|High income
ur.01253440750.52|2144|1|1|US|United States|male|North America|High income|North America|High income
ur.077453144.24|2867|1|0|SE|Sweden||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.012127150125.81|3028|1|5|CA|United States||North America|High income|North America|High income
ur.0656542413.28|3028|1|5|US|United States||North America|High income|North America|High income
ur.01211374104.77|3028|1|5|US|United Kingdom||North America|High income|Europe & Central Asia|High income
ur.011410503273.29|3028|1|5|US|United Kingdom||North America|High income|Europe & Central Asia|High income
ur.012206063673.63|3028|1|5|US|United Kingdom||North America|High income|Europe & Central Asia|High income
ur.015417601577.19|3028|1|5|US|United Kingdom||North America|High income|Europe & Central Asia|High income
ur.014354660735.74|2972|1|0|US|United States||North America|High income|North America|High income
ur.016205453011.50|2838|1|2|NL|United States||Europe & Central Asia|High income|North America|High income
ur.014612512011.95|2838|1|2|FR|United States||Europe & Central Asia|High income|North America|High income
ur.0640642627.43|2838|1|2|IR|United States||Middle East & North Africa|Lower middle income|North America|High income
ur.012173555371.01|1957|1|6|IT|United States||Europe & Central Asia|High income|North America|High income
ur.014520064127.55|1957|1|6|IT|Italy||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.0621044420.49|1957|1|6|IT|Switzerland|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.07414541165.98|1957|1|6|JP|Japan||East Asia & Pacific|High income|East Asia & Pacific|High income
ur.01156432760.33|1957|1|6|US|United Kingdom|male|North America|High income|Europe & Central Asia|High income
ur.01111565350.18|1957|1|6|BS|United Kingdom|male|Latin America & Caribbean|High income|Europe & Central Asia|High income
ur.0757770613.51|10212|1|2|FR|Belgium|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.015122466466.66|10212|1|2|FR|Belgium||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.0702226135.66|10212|1|2|BE|Belgium||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.010174727275.13|1960|1|0|US|United States|male|North America|High income|North America|High income
ur.01064651057.69|2884|1|3|US|United States||North America|High income|North America|High income
ur.01332674403.59|2884|1|3|US|United States||North America|High income|North America|High income
ur.0733167700.92|2884|1|3|US|United States||North America|High income|North America|High income
ur.0741150444.73|2884|1|3|US|United States||North America|High income|North America|High income
ur.011055112671.92|3171|1|0|US|United Kingdom|male|North America|High income|Europe & Central Asia|High income
ur.01115361434.71|2814|1|3|MA|United States|male|Middle East & North Africa|Lower middle income|North America|High income
ur.0716221223.80|2814|1|3|RS|United States||Europe & Central Asia|Upper middle income|North America|High income
ur.0617600726.16|2814|1|3|IT|United States|male|Europe & Central Asia|High income|North America|High income
ur.01057437420.21|2814|1|3|JO|United States||Middle East & North Africa|Lower middle income|North America|High income
ur.01276013065.33|2390|1|7|DE|United States||Europe & Central Asia|High income|North America|High income
ur.01366103274.89|2390|1|7|AT|United States||Europe & Central Asia|High income|North America|High income
ur.01356576713.96|2390|1|7|CA|United States||North America|High income|North America|High income
ur.01115712575.27|2390|1|7|IT|United States||Europe & Central Asia|High income|North America|High income
ur.014162423321.45|2390|1|7|TW|United States||||North America|High income
ur.01326154450.31|2390|1|7|SK|United States||Europe & Central Asia|High income|North America|High income
ur.015527265674.84|2390|1|7|US|United States||North America|High income|North America|High income
ur.0652125751.99|2390|1|7|US|United States||North America|High income|North America|High income
ur.016553312124.44|2447|1|1|CA|United States||North America|High income|North America|High income
ur.013225164613.33|2447|1|1|UA|United States||Europe & Central Asia|Lower middle income|North America|High income
ur.010367143727.44|2540|1|0|CH|United States||Europe & Central Asia|High income|North America|High income
ur.016250557662.94|30046|1|2|GR|United States|male|Europe & Central Asia|High income|North America|High income
ur.016552070371.96|30046|1|2|IL|United States||Middle East & North Africa|High income|North America|High income
