source|target|weight
ur.01242565474.00|ur.011535264111.51|2
ur.01242565474.00|ur.011033016243.08|2
ur.01242565474.00|ur.0702657043.11|1
ur.01242565474.00|ur.01100431331.04|1
ur.01242565474.00|ur.012137371515.19|1
ur.01242565474.00|ur.013150070613.88|1
ur.01242565474.00|ur.0640512403.86|1
ur.01242565474.00|ur.0714500516.26|1
ur.0657076451.24|ur.0721730631.45|10
ur.0657076451.24|ur.01207120103.29|10
ur.0657076451.24|ur.07423561367.62|8
ur.0657076451.24|ur.01242565474.00|7
ur.0657076451.24|ur.0657076451.24|6
ur.0657076451.24|ur.011535264111.51|6
ur.0657076451.24|ur.011033016243.08|6
ur.0657076451.24|ur.0767105504.29|6
ur.0657076451.24|ur.0721775233.60|5
ur.0657076451.24|ur.010546143103.08|3
ur.0657076451.24|ur.0704160417.51|3
ur.0657076451.24|ur.0722660612.29|3
ur.0657076451.24|ur.010734030447.60|2
ur.0657076451.24|ur.01146660016.40|2
ur.0657076451.24|ur.014515335362.20|2
ur.0657076451.24|ur.0640512403.86|2
ur.0657076451.24|ur.0706204515.71|2
ur.0657076451.24|ur.01000602647.66|2
ur.0657076451.24|ur.010542646154.35|1
ur.0657076451.24|ur.01064146320.53|1
ur.0657076451.24|ur.0732374135.99|1
ur.0657076451.24|ur.0612336673.17|1
ur.0657076451.24|ur.01320652703.27|1
ur.0657076451.24|ur.01252537503.55|1
ur.0657076451.24|ur.012073201224.71|1
ur.0657076451.24|ur.01204424303.15|1
ur.0657076451.24|ur.01200656557.13|1
ur.0657076451.24|ur.01165772664.42|1
ur.0657076451.24|ur.01137123101.53|1
ur.0657076451.24|ur.01100431331.04|1
ur.0657076451.24|ur.0763244404.65|1
ur.0657076451.24|ur.0766143253.20|1
ur.0620644104.36|ur.0621643160.19|15
ur.0620644104.36|ur.0632511150.69|12
ur.0620644104.36|ur.01017036620.03|9
ur.0620644104.36|ur.01106116117.02|7
ur.0620644104.36|ur.01331056567.35|4
ur.0620644104.36|ur.0775325121.62|3
ur.0620644104.36|ur.01370021645.17|2
ur.0620644104.36|ur.0712067676.85|2
ur.0620644104.36|ur.0775446106.53|2
ur.0620644104.36|ur.01152151243.29|2
ur.0620644104.36|ur.01270211166.22|2
ur.0620644104.36|ur.01004776104.69|2
ur.0620644104.36|ur.010434714444.72|2
ur.0620644104.36|ur.01060742250.24|2
ur.0620644104.36|ur.0772772642.38|1
ur.0620644104.36|ur.01250104272.04|1
ur.0620644104.36|ur.01247073502.08|1
ur.0620644104.36|ur.01240545576.43|1
ur.0620644104.36|ur.01212562774.72|1
ur.0620644104.36|ur.01205435531.41|1
ur.0620644104.36|ur.01170402002.42|1
ur.0620644104.36|ur.01161070716.44|1
ur.0620644104.36|ur.01124547064.70|1
ur.0620644104.36|ur.010755450661.75|1
ur.0620644104.36|ur.01075465176.23|1
ur.0620644104.36|ur.01057707500.19|1
ur.0620644104.36|ur.01031414124.25|1
ur.0620644104.36|ur.01005433737.34|1
ur.0620644104.36|ur.01005350474.77|1
ur.0620644104.36|ur.01262630264.32|1
ur.0620644104.36|ur.01306513376.45|1
ur.0620644104.36|ur.01324610003.38|1
ur.0620644104.36|ur.0620644104.36|1
ur.0620644104.36|ur.0763521661.41|1
ur.0620644104.36|ur.0755572020.37|1
ur.0620644104.36|ur.07455163645.15|1
ur.0620644104.36|ur.0731112626.37|1
ur.0620644104.36|ur.0726655414.15|1
ur.0620644104.36|ur.0662125177.25|1
ur.0620644104.36|ur.0635721334.48|1
ur.0620644104.36|ur.0624720046.26|1
ur.0620644104.36|ur.0614341247.26|1
ur.0620644104.36|ur.0612432253.33|1
ur.0620644104.36|ur.016626773715.87|1
ur.0620644104.36|ur.016603011744.36|1
ur.0620644104.36|ur.016407141111.81|1
ur.0620644104.36|ur.016363614222.68|1
ur.0620644104.36|ur.014732510515.04|1
ur.0620644104.36|ur.014312157652.15|1
ur.0620644104.36|ur.01360117561.19|1
ur.0767105504.29|ur.01207120103.29|4
ur.0767105504.29|ur.07423561367.62|3
ur.0767105504.29|ur.0721730631.45|3
